target_queue_length,conflicting_volume,time_since_last_phase,num_conflicting_lanes,downstream_lane_length,clearance_distance,label
2.0,22.0,46.47964122219717,34.0,23.21,119.0,1
0.0,3.0,7.154454785811855,9.0,102.88,31.5,1
0.0,0.0,25.77332799347018,3.0,47.01,10.5,1
0.0,1.0,44.25017410094648,11.0,36.91,38.5,1
0.0,0.0,20.968491365983013,2.0,100.35,7.0,0
0.0,0.0,6.623257520698624,5.0,166.06,17.5,0
0.0,2.0,17.002408338598443,8.0,19.56,28.0,1
0.0,10.0,38.418800176692784,7.0,166.61,24.5,1
0.0,0.0,36.194677098387366,7.0,15.57,24.5,1
0.0,1.0,16.693588842103434,21.0,23.18,73.5,1
1.0,4.0,48.74161282742217,8.0,32.82,28.0,1
0.0,0.0,23.66269974263935,6.0,53.35,21.0,0
0.0,0.0,53.69674341130173,7.0,121.43,24.5,0
0.0,0.0,40.496443511623426,2.0,42.62,7.0,0
0.0,3.0,31.622923027299237,3.0,125.19,10.5,1
0.0,0.0,59.86266844823515,2.0,44.43,7.0,1
3.0,21.0,59.8189167889987,19.0,0.29,66.5,1
0.0,3.0,29.86848136889784,7.0,186.65,24.5,1
0.0,0.0,54.0322597501875,6.0,13.4,21.0,1
0.0,2.0,5.8500309480076815,16.0,31.33,56.0,1
0.0,0.0,27.396502185982254,2.0,48.97,7.0,0
0.0,0.0,10.477858011357162,2.0,53.92,7.0,0
0.0,0.0,20.063360581920932,2.0,38.0,7.0,0
1.0,0.0,5.628224683331028,5.0,57.01,17.5,0
0.0,2.0,47.79497776749151,5.0,6.57,17.5,1
0.0,0.0,31.799197019365728,5.0,9.95,17.5,1
0.0,0.0,10.6071717671895,3.0,62.98,10.5,1
0.0,0.0,56.257724907405674,6.0,32.87,21.0,1
0.0,3.0,17.472359507534172,2.0,48.97,7.0,0
0.0,0.0,55.71863266069352,3.0,62.98,10.5,0
0.0,0.0,16.686591287894153,2.0,50.23,7.0,1
0.0,5.0,23.037511724317284,19.0,32.39,66.5,1
0.0,0.0,36.23835938270458,2.0,50.23,7.0,1
0.0,0.0,41.175314186577076,11.0,21.76,38.5,1
0.0,0.0,49.16295514127115,2.0,59.67,7.0,0
0.0,0.0,50.07199833892989,3.0,161.13,10.5,1
0.0,0.0,59.67682591479937,11.0,46.73,38.5,1
0.0,0.0,18.522923267427,2.0,70.97,7.0,1
0.0,0.0,20.323049825420025,2.0,109.43,7.0,1
0.0,0.0,10.655617335169211,11.0,46.73,38.5,0
0.0,0.0,35.455309277097136,3.0,50.45,10.5,0
0.0,0.0,51.900029245741614,2.0,90.2,7.0,0
1.0,4.0,37.77406810124526,2.0,105.03,7.0,0
0.0,0.0,20.505441178660558,3.0,48.81,10.5,1
0.0,0.0,45.050479722999334,2.0,109.77,7.0,1
0.0,0.0,57.6201903865946,3.0,48.81,10.5,1
0.0,3.0,4.499423664355728,8.0,32.82,28.0,1
0.0,0.0,29.621916889314782,2.0,199.31,7.0,1
0.0,0.0,28.89441412261497,2.0,45.57,7.0,1
0.0,0.0,36.59095988805186,5.0,113.2,17.5,1
0.0,0.0,18.160231642405705,5.0,113.2,17.5,0
0.0,1.0,40.4542623435171,2.0,50.78,7.0,0
0.0,2.0,23.443456544820812,3.0,54.83,10.5,0
0.0,0.0,32.884929432548844,3.0,48.81,10.5,1
0.0,0.0,31.94698890410069,2.0,56.62,7.0,1
0.0,0.0,30.651828517379414,3.0,97.24,10.5,1
0.0,1.0,44.04743793772958,11.0,36.91,38.5,1
